Complaint Name,External ID,IFI Support,Sector,Issues,"If No Eligibility, Why?"
NFC Forestry Project,MC/E/2011/13,Project/investment lending,Forestry,Displacement (physical and/or economic),
NNPC-01/Nigeria,no_id_21_89,,Other,Other,Unknown
NOVA Companies (Belize) Ltd. and Ambergris Aquaculture Ltd.-01/Ladyville,no_id_21_19,Project/investment lending,Agribusiness,"Biodiversity, Due diligence","Addressed outside process, Forwarded to other body within bank"
NTPC I Power Generation Project,10,Project/investment lending,Energy,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other environmental",
"NTPC Power Generation Project, 2nd Request (not registered)",21,Project/investment lending,Energy,"Displacement (physical and/or economic), Due diligence",Funding and/or consideration ended
National Capital Region Urban Infrastructure Financing Facility - Tranche 1,no_id_25_36,Project/investment lending,Community capacity and development,"Consultation and disclosure, Displacement (physical and/or economic)",Addressed outside process
National Drainage Program Project,34,Project/investment lending,"Infrastructure, Regulatory Development","Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Pollution",
National Highway Development Sector Investment Program,6-Apr,Project/investment lending,"Infrastructure, Regulatory Development","Consultation and disclosure, Displacement (physical and/or economic)",
National Highways Sector Project,9-Nov,Project/investment lending,Infrastructure,Displacement (physical and/or economic),Good faith requirement not met
National Land Claims,no_id_21_29,,Other,Other,Outside of mandate
National Trade Corridor Highway Investment Program,9-May,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)","Mechanism deemed involvement unnecessary, Addressed outside process"
National Trade Corridor Highway Investment Program 2,9-Jul,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods",Good faith requirement not met
Natural Gas Access Improvement Project,no_id_25_19,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Other,"Outside of mandate, Forwarded to other body within bank"
Natural Resource Management Project,84,Project/investment lending,"Forestry, Regulatory Development","Consultation and disclosure, Displacement (physical and/or economic), Indigenous peoples, Violence against the community (by gov't and/or company)",
Navi Mumbai,no_id_21_73,,Other,Other,Unknown
New Bohol Airport Construction and Sustainable Environment Protection Project,philippines_01,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Livelihoods, Other environmental",Outside of mandate
New Gold: Minera San Xavier project,2013-04-MEX,,"Extractives (oil, gas, mining)",Other,
Nicaragua Sugar Estates Limited-01/Leon and Chinandega,82,Project/investment lending,Agribusiness,"Displacement (physical and/or economic), Human rights, Indigenous peoples, Labor, Livelihoods, Other community health and safety issues, Pollution, Water",
Niger Delta Contractor Revolving Credit Facility-01/Niger Delta,106,Project/investment lending,"Extractives (oil, gas, mining), Other","Consultation and disclosure, Labor, Other, Violence against the community (by gov't and/or company)",
Noise pollution caused by the new EIB/EIF Building,SG/E/2010/07,Other,Other,"Other community health and safety issues, Pollution",
Noise pollution caused by the new EIB/EIF Building 2,SG/E/2010/10,Other,Other,"Other community health and safety issues, Pollution",
North Eastern Region Capital Cities Development Investment Program,11-Feb,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Indigenous peoples",Good faith requirement not met
North Eastern Region Capital Cities Development Investment Program - Tranche 3,no_id_25_52,Project/investment lending,"Infrastructure, Land reform",Other,"Forwarded to other body within bank, Forwarded to other body within bank, Outside of mandate, Outside of mandate"
North-South Corridor Project,no_id_25_29,Project/investment lending,"Healthcare, Infrastructure",Procurement,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
North-West Frontier Province Road Development Sector and Subregional Connectivity,9-Apr,Project/investment lending,Infrastructure,Displacement (physical and/or economic),Good faith requirement not met
Novica United-01,no_id_21_68,,Other,Other,Unknown
Nun River Kolo Creek Oil Pipeline,no_id_21_57,,"Extractives (oil, gas, mining)",Other,Unknown
Nuweiba Combined Cycle Power Project,RQ 2009/2,Project/investment lending,Energy,"Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Other environmental, Pollution",
Nuweiba Power Plant Project,SG/E/2009/05,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Other community health and safety issues, Other environmental",
Olkaria A,SG/E/2014/07,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Livelihoods, Other gender-related issues, Other retaliation (actual or feared)",
Olkaria B,SG/E/2014/08,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Indigenous peoples, Livelihoods, Other community health and safety issues, Other environmental",
Oltenia - Turceni Rehabilitation,2014/01,Project/investment lending,"Conservation and environmental protection, Energy","Consultation and disclosure, Due diligence, Other environmental",Complaint withdrawn
Olyanytsya CAO Complaint,,Project/investment lending,Agribusiness,"Consultation and disclosure, Other community health and safety issues, Other retaliation (actual or feared), Property damage",
Ombla Hydro Power Plant,2011/06,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence",
Orion-02/ Gualeguaychu,152,Project/investment lending,Manufacturing,"Due diligence, Livelihoods, Other, Other community health and safety issues, Pollution, Water",
Outer Ring Road Project,RQ2015/3-Bis,,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)","Addressed outside process, Addressed outside process"
Oyu Tolgoi-01/Southern Gobi,191,"Project/investment lending, Risk Guarantee","Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Water",
Oyu Tolgoi-02/Southern Gobi,196,"Project/investment lending, Risk Guarantee","Extractives (oil, gas, mining)","Cultural heritage, Human rights, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",
PNG SEZ-01/Madang Province,175,Advisory services,Regulatory Development,"Biodiversity, Consultation and disclosure, Due diligence, Other, Other environmental",
PPCR-01/ Dominica,no_id_21_90,,Other,Other,Unknown
PROSAP,MICI-AR-2011-033,,Other,Other,Unknown
PT Weda Bay Nickel-01/Weda Bay,158,Risk Guarantee,"Extractives (oil, gas, mining), Manufacturing","Due diligence, Livelihoods, Other environmental, Pollution, Water",
Pakistan Banking,no_id_21_31,,Other,Other,Outside of mandate
Pakistan DG Khan Cement,pakistan-dg-khan-cement,,Manufacturing,Due diligence,Issues previously raised
Pan African Paper-01/Webuye,83,"Equity Investment, Project/investment lending",Manufacturing,"Consultation and disclosure, Human rights, Livelihoods, Other community health and safety issues, Pollution, Property damage, Water",
Panama Canal Expansion,MICI-PN-2011-014,,Other,Other,Unknown
Panama Canal Expansion,SG/E/2011/05,,Infrastructure,"Other, Other environmental",
Panama Canal Expansion Program,PN-MICI002-2011,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Due diligence, Water",
Panama Canal Expansion Project,no_id_31_1,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other environmental, Water",
Panama Canal Expansion-01/Gatun,174,Project/investment lending,Infrastructure,"Biodiversity, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental, Water",
Pando Montelirio-01/Chiriqui,156,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",
Pando-Monte Lirio Hydroelectric Power Project,PN-MICI001-2010,Project/investment lending,Energy,"Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Water",
Pando-Monte Lirio Hydroelectric Power Project 2,MICI-PN-2013-058,,Other,Other,Unknown
"Paraguay/Argentina Reform Project for the Water and Telecommunication Sectors, SEGBA V Power Distribution Project (Yacyreta)",26,Project/investment lending,"Energy, Infrastructure","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Pollution, Water",
Parana Biodiversity Project,41,Other,Conservation and environmental protection,Biodiversity,
Paravani Hydro Power Plant,2012/010,"Equity Investment, Project/investment lending","Energy, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Other community health and safety issues",
Petroleum Development and Pipeline Project (not registered),29,,"Extractives (oil, gas, mining), Infrastructure",Other,Good faith requirement not met
"Petroleum Development and Pipeline Project, Management of the Petroleum Economy Project, and Petroleum Sector Management Capacity Building Project",22,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Human rights, Pollution, Violence against the community (by gov't and/or company)",
"Petroleum Development and Pipeline Project, and Petroleum Environment Capacity Enhancement Project",27,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Labor, Other community health and safety issues, Other gender-related issues",
Petronor,SG/E/2009/06/INA,Project/investment lending,"Extractives (oil, gas, mining), Manufacturing",Other environmental,"Outside of mandate, Outside of mandate, Issues previously raised"
Petrotrin-01/Trinidad,no_id_21_94,,Other,Other,Unknown
"Phase 1B of Lesotho Highlands Water Project, 1st Request",12,Project/investment lending,Infrastructure,"Livelihoods, Other community health and safety issues, Other gender-related issues, Water",
Phnom Penh to Ho Chi Minh City Highway Project,7-Feb,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods",
Plato-01/Bishkek,233,Equity Investment,Education,Labor,
Poland Motorways,SG/E/2012/09,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence",
Porce III Hydroelectric Power Plant,MICI-CO-2015-0096,Project/investment lending,Energy,"Displacement (physical and/or economic), Other, Other community health and safety issues, Violence against the community (by gov't and/or company)",
Porto De Aveiro,SG/E/2011/16,,Infrastructure,"Due diligence, Other environmental",
Portuguese Dam Program,SG/E/2011/07/PR,,Other,"Other, Other environmental",Unknown
Power Development Project,87,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues",
Power Distribution Enhancement Investment Program - Tranche 3,no_id_25_42,Project/investment lending,Energy,Procurement,"Forwarded to other body within bank, Outside of mandate"
Power Project,no_id_28_3,,Energy,Corruption/fraud,"Forwarded to other body within bank, Outside of mandate"
Power Sector Development Program,10-Mar,Project/investment lending,Energy,Other,Project Completion Report issued
Power Sector Generation and Restructuring Project,46,Project/investment lending,"Energy, Infrastructure","Biodiversity, Cultural heritage, Due diligence, Livelihoods, Other environmental",
Power VI Project,3,Project/investment lending,Energy,"Due diligence, Other",
Private Power Generation Project,44,Risk Guarantee,Energy,"Consultation and disclosure, Due diligence, Indigenous peoples, Other community health and safety issues",
"Private Sector Development and Competitiveness Project, First Request",54,Project/investment lending,"Community capacity and development, Regulatory Development","Labor, Livelihoods, Other community health and safety issues, Other gender-related issues",
Productive Infrastructure Program III,MICI-HA-2015-0089,Project/investment lending,"Community capacity and development, Infrastructure","Displacement (physical and/or economic), Other environmental",Other
Program to Improve Highway Corridors in Paraguay,PR-MICI002-2010,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Indigenous peoples",
Program to Support Production Development for International Integration,MICI-ES-2015-0092,Project/investment lending,Other,Other,Outside of mandate
Programa Nacional 700 Escuelas,MICI-AR-2011-016,,Other,Other,Unknown
Programa de Mejoramiento de Barrios II (PROMEBA II),AR-MICI003-2010,Project/investment lending,"Infrastructure, Land reform","Consultation and disclosure, Other",Addressed outside process
Programa de Mejoramiento del Tramo Santa Barbara-Rurrenabaque del Corredor Norte,MICI-BO-2011-024,,Other,Other,
Project to support the monitoring and evaluation of the poverty reduction strategy,no_id_28_7,,Other,Other,"Addressed outside process, Filer Issue"
Promoting Economic Use of Customary Land and Grant No. 0392 (SAM): Samoa Agribusiness Support Project,14-Feb,"Advisory services, Project/investment lending","Agribusiness, Other","Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues",
Pronaca Expansion-01/Santo Domingo de los Tsachilas,161,Project/investment lending,Agribusiness,"Biodiversity, Due diligence, Other, Other community health and safety issues, Pollution, Water",
Proposed Kosovo Power Project and Second Additional Financing Energy Sector Clean-up and Land Reclamation Project,103,Advisory services,"Energy, Regulatory Development","Displacement (physical and/or economic), Due diligence, Human rights, Livelihoods",
Proposed MFF National Trade Corridor Highway Investment Program - Hasanabdal-Havelian Section (Project 2),11-Apr,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Other environmental",Good faith requirement not met
Protection of Basic Services Program Phase II Additional Financing and Promoting Basic Services Phase III Project,82,Project/investment lending,Other,"Displacement (physical and/or economic), Due diligence, Gender-based violence, Human rights, Indigenous peoples, Livelihoods, Violence against the community (by gov't and/or company)",
Provincial Agricultural Services Program II (PROSAP II),AR-MICI002-2010,Project/investment lending,"Agribusiness, Infrastructure",Cultural heritage,
Proyecto Rodoanel Mario Covas - Tramo Norte,MICI-BR-2011-026,,Other,Other,Unknown
Proyecto Rodoanel Mario Covas - Tramo Norte 2,MICI-BR-2011-028,,Other,Other,Unknown
Public Energy & Energy Efficiency Project,no_id_21_50,,Other,Other,Outside of mandate
Public Road Project,no_id_28_1,,Infrastructure,Other,Addressed outside process
Public Road Project 2,no_id_28_2,,Infrastructure,Other,Addressed outside process
Public Road Project 3,no_id_28_4,,Infrastructure,Other,Addressed outside process
Public Road Project 4,no_id_28_5,,Infrastructure,Other,Addressed outside process
Public Works and Employment Creation Project (not registered),35,Project/investment lending,Infrastructure,Other,Outside of mandate
Puerto Sevilla,SG/E/2013/09,Project/investment lending,Infrastructure,"Due diligence, Other environmental",
Punjab Irrigated Agriculture Investment Program Subproject 1: Lower Bari Doab Canal Improvement Project and the Punjab Irrigated Agriculture,no_id_25_10,Project/investment lending,"Agribusiness, Infrastructure",Other,Unknown
Quadriga Capital,no_id_21_48,,Other,Other,Outside of mandate
Quellaveco-01/Moquegua,185,Equity Investment,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Other community health and safety issues, Pollution, Water",
Quilleco Hydropower Project,67,Other,Energy,"Cultural heritage, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental",
RAK Ceramics,no_id_21_37,,Other,Other,Outside of mandate
Radiance International,no_id_21_82,,Other,Other,Unknown
Railroad Gilje-Paracin,SG/E/2013/10,,Other,Displacement (physical and/or economic),Unknown
Rainforest Ecolodge Linkages-01/Deniyaya,151,Advisory services,Other,"Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other environmental",
Raising Incomes of Small and Medium Farmers Project,no_id_25_18,Project/investment lending,Agribusiness,Other,"Outside of mandate, Forwarded to other body within bank"
Rajasthan Renewable Energy Transmission Investment Program - Tranche 2,29,,Energy,"Biodiversity, Other environmental",
Ramky-01/ Gummidipoondi,no_id_21_14,,Infrastructure,"Consultation and disclosure, Pollution, Water",Forwarded to other body within bank
Ramky-02/Mumbai,no_id_21_15,,Infrastructure,"Consultation and disclosure, Pollution, Water",Filer Issue
Ramky-03/Gummidipoondi,100,Equity Investment,Infrastructure,"Consultation and disclosure, Due diligence",
Ranbaxy-01,no_id_21_77,,Other,Other,Unknown
Rawalpindi Environmental Improvement Project (Sewage Treatment Plant Component),9-Jun,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Pollution, Water",
Rawalpindi Environmental Improvement Project (Water Supply Component),9-Aug,Project/investment lending,Infrastructure,Water,Filer Issue
Real LRIF-01/Coban,227,Equity Investment,Energy,"Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Water",
Reconquista River Sanitation Environmental Program,MICI-AR-2013-065,,Other,Other,Unknown
Red Sea - Dead Sea Water Conveyance Study Program,76,Other,Other,"Consultation and disclosure, Due diligence, Indigenous peoples, Other environmental, Water",
Reges,no_id_21_45,,Other,Other,Outside of mandate
Regional Economic Integration in Central Asia - Stocktaking and Experience Sharing,10-May,Advisory services,Other,"Other, Procurement",Outside of mandate
Rehabilitation of the Railway in Cambodia Project,12-Jan,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Human rights, Other community health and safety issues, Other retaliation (actual or feared), Water",
Rehabilitation of the Railway in Cambodia Project 2,2012/2,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",Good faith requirement not met
Rehabilitation of the Railway in Cambodia Project 3,13-Jan,Project/investment lending,Infrastructure,Property damage,"Good faith requirement not met, Issues previously raised"
Rehabilitation of the Railway in Cambodia Project 4,13-Feb,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods",Unknown
Rehabilitation of the Railway in Cambodia Project 5,no_id_25_21,Project/investment lending,Infrastructure,Other,Unknown
Request II,MICI-BID-HA-2017-0114,Project/investment lending,"Infrastructure, Manufacturing","Displacement (physical and/or economic), Human rights, Livelihoods, Other environmental",
Request for Bank information from Auditoria Superior de la Nacion,MICI-ME-2012-048,,Other,Other,Unknown
Request not related to any operation,MICI-AU-2015-0095,,Other,Other,Unknown
Rivne Kyiv High Voltage Line,2012/02,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Other",
Rivne-Kyiv High Voltage Line,SG/E/2012/08,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence",
Road Sector Assistance Project- Second Additional Financing,92,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Property damage",Issues previously raised
Roads Rehabilitation VI,SG/E/2011/12,Project/investment lending,Infrastructure,"Due diligence, Property damage",
Rondonia Natural Resources Management Project,4,Project/investment lending,"Conservation and environmental protection, Regulatory Development","Biodiversity, Indigenous peoples, Livelihoods",
Route E420 Frasnes-Bruly RTE,SG/E/2014/02,Project/investment lending,Infrastructure,"Due diligence, Other environmental",
Rural Economic Development,MICI-GU-2013-075,,Other,Other,Unknown
Rural Electrification Program,MICI-PN-2013-060,,Other,Other,Unknown
"Rural Electrification, Distribution and Transmission Project-Thankot-Chapagaun-Bhaktapur 132 kV Transmission Line",6-Mar,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",Good faith requirement not met
Rural Land Titling & Registration Project in Peru - Third Phase,MICI-PE-2015-0094,Project/investment lending,Land reform,"Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Other environmental",Other
Rural Water Supply and Sanitation,MICI-CO-2011-025,,Other,Other,Unknown
Rural Water Supply and Wastewater Management Program,MICI-CO-2012-036,,Other,Other,Unknown
Russkiy Mir II-01/Taman,86,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Due diligence, Other environmental",
Russkiy Mir II-02/Taman,87,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Other community health and safety issues,
Russkiy Mir II-03/Taman,88,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Other community health and safety issues, Property damage",
SASEC Road Connectivity Investment Program - Tranche 1,no_id_25_33,Project/investment lending,Infrastructure,Other,"Complaint withdrawn, Addressed outside process"
SN Power-01/CAO Vice President Request,162,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Due diligence, Labor, Other community health and safety issues",
STEG - Sousse Power Plant,SG/E/2011/17,Project/investment lending,Energy,Displacement (physical and/or economic),
Sakhalin 2,2005/01,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Pollution, Property damage",
San Francisco - Mocoa Alternate Road Construction Project,MICI-CO-2013-056,,Other,Other,Unknown
San Francisco - Mocoa Alternate Road Construction Project - Phase I,MICI-CO-2012-044,,Other,Other,Unknown
San Francisco-Mocoa Alternate Road Construction Project - Phase I,CO-MICI001-2011,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Indigenous peoples, Livelihoods, Other environmental, Pollution, Water",
Santa Barbara-Rurrenabaque Northern Corridor Highway Improvement Program,BO-MICI001-2011,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Pollution",
Santa Catarina Logistics Infrastructure Program,MICI-BR-2012-040,,Other,Other,Unknown
Santa Fe Infrastructure Project and Provincial Road Infrastructure Project (Not Registered),77,Project/investment lending,Infrastructure,Other community health and safety issues,Funding and/or consideration ended
"Santa Fe Infrastructure Project and Provincial Road Infrastructure Project, 1st Request",42,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution",
"Santa Fe Road Infrastructure Project and Provincial Road Infrastructure Project, 3rd Request",51,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Other retaliation (actual or feared), Pollution",
Sao Jose dos Campos Urban Structuring Program,BR-MICI006-2011,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Water",
Sao Jose dos Campos Urban Structuring Program 2,MICI-BR-2012-052,,Other,Other,Unknown
Saudi Pak Bank-01,no_id_21_69,,Other,Other,Unknown
Scottish & Southern Renewables,SG/E/2010/11,Project/investment lending,Energy,"Biodiversity, Due diligence",
Second Green Power Development Project,no_id_25_47,"Advisory services, Project/investment lending",Energy,Procurement,"Forwarded to other body within bank, Outside of mandate"
Second National Water Development Project - AdditionalFinancing,86,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Human rights, Other, Other community health and safety issues, Water",Other
Second Norte Grande Water Infrastructure Project,73,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Livelihoods, Pollution, Water",
Second Rural Enterprise Support Project,89,Project/investment lending,"Agribusiness, Infrastructure","Due diligence, Labor, Other community health and safety issues, Other retaliation (actual or feared), Violence against the community (by gov't and/or company)",
Second Tamil Nadu Road Sector Project,99,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution",Outside of mandate
Second Urban Environment Sanitation Project,49,Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Pollution, Water",
Secondary Towns Integrated Urban Environmental Improvement Project,no_id_25_28,Project/investment lending,Infrastructure,"Corruption/fraud, Procurement","Outside of mandate, Forwarded to other body within bank, Outside of mandate, Outside of mandate"
Secondary Towns Integrated Urban Environmental Improvement Project 2,9,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Water",Good faith requirement not met
Secondary and Local Roads Programme,SG/E/2013/06,Project/investment lending,Infrastructure,Displacement (physical and/or economic),
Sendou Coal Fired Power Plant Project,RQ2016/2,,"Conservation and environmental protection, Energy, Extractives (oil, gas, mining)","Cultural heritage, Other community health and safety issues, Other environmental, Pollution, Water",
Serra do Mar and Atlantic Forest Mosaics System Socioenvironmental Recovery Program,BR-MICI001-2010,Project/investment lending,Conservation and environmental protection,Other environmental,
Silver Standard Resources: Pirquitas project,2013-05-ARG,,"Extractives (oil, gas, mining)","Consultation and disclosure, Other community health and safety issues, Pollution, Water",
Sinchi Wayra (formerly COMSUR),no_id_21_34,,Other,Other,Outside of mandate
Sinharaja Forest,no_id_21_58,,Other,Other,Unknown
Sixth Road Project,4-Mar,Project/investment lending,"Infrastructure, Regulatory Development","Due diligence, Livelihoods",Good faith requirement not met
Slovak Motorways D1,SG/E/2009/03,Project/investment lending,Infrastructure,"Due diligence, Other, Other environmental",
Smallholder Agriculture Development Project,62,Project/investment lending,Agribusiness,"Consultation and disclosure, Due diligence, Human rights, Indigenous peoples, Other, Other community health and safety issues, Other environmental, Pollution",
Socar-01/,no_id_21_86,,Other,Other,Unknown
Solid Waste Management Program for Touristic Municipalities,MICI-AR-2013-066,,Other,Other,Unknown
Sonae Novobord,SG/E/2008/03,Project/investment lending,Manufacturing,"Due diligence, Other environmental, Pollution",
Sostanj Thermal Power Plant,2012/03,Project/investment lending,Energy,Due diligence,
South Asia Tourism Infrastructure Development Project - Additional Financing,no_id_25_44,Project/investment lending,Infrastructure,Other,Addressed outside process
"South Poland CHP, Bielsko-Biala, Poland",SG/A/2011/01,Project/investment lending,Energy,"Consultation and disclosure, Other environmental",Outside of mandate
South Sinai Power Plant,SG/E/2009/05,Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Due diligence, Other environmental",
South-West Corridor Road Project,2014/04,Project/investment lending,Infrastructure,"Other community health and safety issues, Pollution",
South-West Roads: Western Europe-Western China International Transit Corridor (CAREC-1b & 6b) (Second Request),74,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other environmental",
South-West Roads: Western Europe-Western China International Transit Corridor (CAREC-1b & 6b) - 1st request,66,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Other environmental, Pollution",
South-West Roads: Western Europe-Western China International Transit Corridor - CAREC-1b & 6b (2010) (Third Request),96,Project/investment lending,Infrastructure,Other,Filer Issue
Southern Agriculture Area Development Project,10-Jun,Project/investment lending,Agribusiness,"Consultation and disclosure, Human rights, Other retaliation (actual or feared), Water","Outside of mandate, Outside of mandate"
Southern Punjab Basic Urban Services Project,9-Mar,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Pollution",
Southern Transport Development Project (STDP),2004/1,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Other environmental",
Special Structural Adjustment Loan,17,Project/investment lending,Regulatory Development,"Consultation and disclosure, Other",
Standard Profil-01/Duzce,80,Equity Investment,Manufacturing,Labor,
Strategic Public Transportation Systems (SPTS),MICI-CO-2015-0085,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",Addressed outside process
Strategic Public Transportation Systems Program,MICI-CO-2011-030,,Other,Other,Unknown
Strategic Transport System,MICI-CO-2012-045,,Other,Other,Unknown
Strengthening the Capacity of Pacific Developing Member Countries to Respond to Climate Change,no_id_25_5,Advisory services,"Community capacity and development, Conservation and environmental protection",Other,"Outside of mandate, Forwarded to other body within bank"
Subconcessao Pinhal Interior,SG/E/2011/03,Project/investment lending,Infrastructure,Other,
Support for the Sustainable Development of the Interior,MICI-SU-2013-069,Advisory services,"Community capacity and development, Land reform","Displacement (physical and/or economic), Gender-based violence, Indigenous peoples, Other community health and safety issues, Pollution, Water",Funding and/or consideration ended
Support to Improve Sustainability of the Electricity Service,MICI-SU-2015-0087,Project/investment lending,Energy,Other,Outside of mandate
Supporting Public Management through eGovernment Capacity Development,no_id_25_25,Advisory services,Regulatory Development,Other,"Outside of mandate, Forwarded to other body within bank"
Sustainable Agriculture and Rural Development Project,95,Project/investment lending,"Agribusiness, Community capacity and development",Consultation and disclosure,Case closed in earlier stage
"Sustainable Development of Natural Resources - Additional Financing, and Sustainable Development of Natural Resources II",83,Project/investment lending,"Extractives (oil, gas, mining), Regulatory Development","Cultural heritage, Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Pollution, Violence against the community (by gov't and/or company), Water",
Sustainable Development of the Interior,MICI-SU-2010-011,,Other,Other,Unknown
Sustainable Environmental Urban Management Program for the Reconquista River Basin-Province of Buenos Aires,MICI-AR-2013-070,Project/investment lending,"Conservation and environmental protection, Infrastructure","Due diligence, Other","Outside of mandate, Not desired by complainant, Filer Issue, Issues previously raised"
Sustainable Urban Transport Investment Program,10-Jul,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",Good faith requirement not met
Sustainable Urban Transport Investment Program - Tranche 3,,,Infrastructure,"Displacement (physical and/or economic), Indigenous peoples",
Sustainable Urban Transport Investment Program - Tranche 3 (2),,,Infrastructure,"Displacement (physical and/or economic), Indigenous peoples",
TCBuen-01/Buenaventura,154,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Human rights",
TCL Group,no_id_21_74,,Other,Other,Unknown
TCL Group-02,no_id_21_75,,Other,Other,Unknown
